_id,Date,PracticeCode,HB,HSCP,Sex,SexQF,AllAges,AllAgesQF,Ages0to4,Ages0To4QF,Ages5to14,Ages5To14QF,Ages15to24,Ages15To24QF,Ages25to44,Ages25To44QF,Ages45to64,Ages45To64QF,Ages65to74,Ages65To74QF,Ages75to84,Ages75To84QF,Ages85plus,Ages85PlusQF
1,20230701,10002,S08000030,S37000007,Male,"",4114,"",189,"",467,"",418,"",968,"",1180,"",490,"",304,"",98,""
2,20230701,10002,S08000030,S37000007,Female,"",4238,"",174,"",418,"",439,"",976,"",1269,"",528,"",336,"",98,""
3,20230701,10002,S08000030,S37000007,All,d,8352,"",363,"",885,"",857,"",1944,"",2449,"",1018,"",640,"",196,""
4,20230701,10017,S08000030,S37000033,Male,"",3468,"",123,"",357,"",490,"",732,"",956,"",415,"",288,"",107,""
5,20230701,10017,S08000030,S37000033,Female,"",3409,"",106,"",317,"",415,"",714,"",928,"",439,"",330,"",160,""
6,20230701,10017,S08000030,S37000033,All,d,6877,"",229,"",674,"",905,"",1446,"",1884,"",854,"",618,"",267,""
7,20230701,10036,S08000030,S37000033,Male,"",2428,"",90,"",219,"",252,"",511,"",733,"",339,"",220,"",64,""
8,20230701,10036,S08000030,S37000033,Female,"",2404,"",62,"",209,"",193,"",480,"",754,"",345,"",259,"",102,""
9,20230701,10036,S08000030,S37000033,All,d,4832,"",152,"",428,"",445,"",991,"",1487,"",684,"",479,"",166,""
10,20230701,10106,S08000030,S37000007,Male,"",3059,"",95,"",312,"",342,"",591,"",858,"",400,"",343,"",118,""
11,20230701,10106,S08000030,S37000007,Female,"",3302,"",70,"",290,"",291,"",633,"",905,"",462,"",426,"",225,""
12,20230701,10106,S08000030,S37000007,All,d,6361,"",165,"",602,"",633,"",1224,"",1763,"",862,"",769,"",343,""
13,20230701,10125,S08000030,S37000033,Male,"",2205,"",88,"",194,"",188,"",460,"",647,"",358,"",218,"",52,""
14,20230701,10125,S08000030,S37000033,Female,"",2304,"",52,"",197,"",169,"",477,"",694,"",366,"",255,"",94,""
15,20230701,10125,S08000030,S37000033,All,d,4509,"",140,"",391,"",357,"",937,"",1341,"",724,"",473,"",146,""
16,20230701,10182,S08000030,S37000003,Male,"",4903,"",216,"",469,"",581,"",1248,"",1364,"",541,"",380,"",104,""
17,20230701,10182,S08000030,S37000003,Female,"",5065,"",181,"",475,"",504,"",1208,"",1401,"",616,"",491,"",189,""
18,20230701,10182,S08000030,S37000003,All,d,9968,"",397,"",944,"",1085,"",2456,"",2765,"",1157,"",871,"",293,""
19,20230701,10233,S08000030,S37000003,Male,"",3405,"",154,"",382,"",372,"",897,"",955,"",357,"",229,"",59,""
20,20230701,10233,S08000030,S37000003,Female,"",3490,"",151,"",390,"",385,"",916,"",911,"",369,"",268,"",100,""
21,20230701,10233,S08000030,S37000003,All,d,6895,"",305,"",772,"",757,"",1813,"",1866,"",726,"",497,"",159,""
22,20230701,10286,S08000030,S37000003,Male,"",2371,"",113,"",298,"",254,"",630,"",628,"",277,"",133,"",38,""
23,20230701,10286,S08000030,S37000003,Female,"",2443,"",99,"",258,"",284,"",590,"",672,"",271,"",195,"",74,""
24,20230701,10286,S08000030,S37000003,All,d,4814,"",212,"",556,"",538,"",1220,"",1300,"",548,"",328,"",112,""
25,20230701,10322,S08000030,S37000003,Male,"",4268,"",187,"",482,"",451,"",1171,"",1104,"",474,"",308,"",91,""
26,20230701,10322,S08000030,S37000003,Female,"",4325,"",176,"",467,"",435,"",1136,"",1149,"",493,"",335,"",134,""
27,20230701,10322,S08000030,S37000003,All,d,8593,"",363,"",949,"",886,"",2307,"",2253,"",967,"",643,"",225,""
28,20230701,10361,S08000030,S37000033,Male,"",5442,"",218,"",607,"",587,"",1251,"",1509,"",674,"",436,"",160,""
29,20230701,10361,S08000030,S37000033,Female,"",5433,"",202,"",515,"",525,"",1177,"",1649,"",689,"",472,"",204,""
30,20230701,10361,S08000030,S37000033,All,d,10875,"",420,"",1122,"",1112,"",2428,"",3158,"",1363,"",908,"",364,""
31,20230701,10407,S08000030,S37000033,Male,"",3838,"",138,"",381,"",355,"",836,"",998,"",569,"",430,"",131,""
32,20230701,10407,S08000030,S37000033,Female,"",4044,"",137,"",375,"",290,"",822,"",1075,"",611,"",508,"",226,""
33,20230701,10407,S08000030,S37000033,All,d,7882,"",275,"",756,"",645,"",1658,"",2073,"",1180,"",938,"",357,""
34,20230701,10445,S08000030,S37000033,Male,"",1912,"",74,"",216,"",154,"",491,"",508,"",276,"",141,"",52,""
35,20230701,10445,S08000030,S37000033,Female,"",1905,"",79,"",186,"",135,"",488,"",501,"",265,"",155,"",96,""
36,20230701,10445,S08000030,S37000033,All,d,3817,"",153,"",402,"",289,"",979,"",1009,"",541,"",296,"",148,""
37,20230701,10498,S08000030,S37000003,Male,"",4340,"",182,"",448,"",472,"",1069,"",1240,"",538,"",285,"",106,""
38,20230701,10498,S08000030,S37000003,Female,"",4348,"",171,"",469,"",423,"",1023,"",1210,"",493,"",371,"",188,""
39,20230701,10498,S08000030,S37000003,All,d,8688,"",353,"",917,"",895,"",2092,"",2450,"",1031,"",656,"",294,""
40,20230701,10638,S08000030,S37000003,Male,"",6362,"",200,"",666,"",713,"",1408,"",1749,"",871,"",592,"",163,""
41,20230701,10638,S08000030,S37000003,Female,"",6745,"",221,"",684,"",624,"",1479,"",1885,"",932,"",689,"",231,""
42,20230701,10638,S08000030,S37000003,All,d,13107,"",421,"",1350,"",1337,"",2887,"",3634,"",1803,"",1281,"",394,""
43,20230701,10708,S08000030,S37000033,Male,"",1297,"",29,"",127,"",120,"",222,"",370,"",222,"",141,"",66,""
44,20230701,10708,S08000030,S37000033,Female,"",1399,"",37,"",115,"",100,"",210,"",407,"",226,"",194,"",110,""
45,20230701,10708,S08000030,S37000033,All,d,2696,"",66,"",242,"",220,"",432,"",777,"",448,"",335,"",176,""
46,20230701,10746,S08000030,S37000033,Male,"",3031,"",117,"",283,"",291,"",705,"",873,"",424,"",252,"",86,""
47,20230701,10746,S08000030,S37000033,Female,"",3043,"",114,"",300,"",284,"",692,"",870,"",412,"",277,"",94,""
48,20230701,10746,S08000030,S37000033,All,d,6074,"",231,"",583,"",575,"",1397,"",1743,"",836,"",529,"",180,""
49,20230701,10835,S08000030,S37000033,Male,"",2056,"",63,"",242,"",207,"",521,"",556,"",232,"",181,"",54,""
50,20230701,10835,S08000030,S37000033,Female,"",2166,"",87,"",233,"",194,"",468,"",623,"",264,"",199,"",98,""
51,20230701,10835,S08000030,S37000033,All,d,4222,"",150,"",475,"",401,"",989,"",1179,"",496,"",380,"",152,""
52,20230701,11005,S08000030,S37000007,Male,"",2551,"",96,"",279,"",258,"",791,"",700,"",256,"",131,"",40,""
53,20230701,11005,S08000030,S37000007,Female,"",2322,"",76,"",281,"",240,"",711,"",582,"",236,"",130,"",66,""
54,20230701,11005,S08000030,S37000007,All,d,4873,"",172,"",560,"",498,"",1502,"",1282,"",492,"",261,"",106,""
55,20230701,11058,S08000030,S37000007,Male,"",4732,"",101,"",285,"",1030,"",1920,"",849,"",314,"",191,"",42,""
56,20230701,11058,S08000030,S37000007,Female,"",4856,"",89,"",243,"",1391,"",1804,"",729,"",303,"",223,"",74,""
57,20230701,11058,S08000030,S37000007,All,d,9588,"",190,"",528,"",2421,"",3724,"",1578,"",617,"",414,"",116,""
58,20230701,11096,S08000030,S37000007,Male,"",2563,"",128,"",293,"",256,"",721,"",694,"",290,"",127,"",54,""
59,20230701,11096,S08000030,S37000007,Female,"",2552,"",108,"",283,"",290,"",744,"",613,"",266,"",162,"",86,""
60,20230701,11096,S08000030,S37000007,All,d,5115,"",236,"",576,"",546,"",1465,"",1307,"",556,"",289,"",140,""
61,20230701,11128,S08000030,S37000007,Male,"",4592,"",205,"",546,"",551,"",1328,"",1243,"",391,"",263,"",65,""
62,20230701,11128,S08000030,S37000007,Female,"",4744,"",207,"",501,"",501,"",1336,"",1253,"",476,"",328,"",142,""
63,20230701,11128,S08000030,S37000007,All,d,9336,"",412,"",1047,"",1052,"",2664,"",2496,"",867,"",591,"",207,""
64,20230701,11166,S08000030,S37000007,Male,"",4625,"",216,"",478,"",481,"",1444,"",1238,"",464,"",244,"",60,""
65,20230701,11166,S08000030,S37000007,Female,"",4672,"",228,"",485,"",510,"",1369,"",1159,"",493,"",311,"",117,""
66,20230701,11166,S08000030,S37000007,All,d,9297,"",444,"",963,"",991,"",2813,"",2397,"",957,"",555,"",177,""
67,20230701,11171,S08000030,S37000007,Male,"",6171,"",289,"",682,"",671,"",1913,"",1527,"",603,"",368,"",118,""
68,20230701,11171,S08000030,S37000007,Female,"",6566,"",289,"",662,"",694,"",1904,"",1664,"",641,"",473,"",239,""
69,20230701,11171,S08000030,S37000007,All,d,12737,"",578,"",1344,"",1365,"",3817,"",3191,"",1244,"",841,"",357,""
70,20230701,11221,S08000030,S37000007,Male,"",2535,"",245,"",449,"",268,"",874,"",475,"",130,"",80,"",14,""
71,20230701,11221,S08000030,S37000007,Female,"",2749,"",236,"",390,"",332,"",1025,"",470,"",160,"",89,"",47,""
72,20230701,11221,S08000030,S37000007,All,d,5284,"",481,"",839,"",600,"",1899,"",945,"",290,"",169,"",61,""
73,20230701,11289,S08000030,S37000007,Male,"",4604,"",201,"",450,"",547,"",1576,"",1136,"",425,"",204,"",65,""
74,20230701,11289,S08000030,S37000007,Female,"",4523,"",218,"",413,"",564,"",1445,"",1035,"",456,"",276,"",116,""
75,20230701,11289,S08000030,S37000007,All,d,9127,"",419,"",863,"",1111,"",3021,"",2171,"",881,"",480,"",181,""
76,20230701,11306,S08000030,S37000007,Male,"",4383,"",149,"",465,"",490,"",980,"",1278,"",508,"",402,"",111,""
77,20230701,11306,S08000030,S37000007,Female,"",4865,"",144,"",453,"",477,"",960,"",1388,"",613,"",538,"",292,""
78,20230701,11306,S08000030,S37000007,All,d,9248,"",293,"",918,"",967,"",1940,"",2666,"",1121,"",940,"",403,""
79,20230701,11363,S08000030,S37000007,Male,"",5809,"",197,"",413,"",1130,"",2347,"",1069,"",396,"",189,"",68,""
80,20230701,11363,S08000030,S37000007,Female,"",6048,"",159,"",377,"",1782,"",2039,"",931,"",385,"",253,"",122,""
81,20230701,11363,S08000030,S37000007,All,d,11857,"",356,"",790,"",2912,"",4386,"",2000,"",781,"",442,"",190,""
82,20230701,11382,S08000030,S37000007,Male,"",4505,"",215,"",529,"",552,"",1417,"",1134,"",393,"",211,"",54,""
83,20230701,11382,S08000030,S37000007,Female,"",4321,"",176,"",488,"",520,"",1229,"",1136,"",412,"",262,"",98,""
84,20230701,11382,S08000030,S37000007,All,d,8826,"",391,"",1017,"",1072,"",2646,"",2270,"",805,"",473,"",152,""
85,20230701,11486,S08000030,S37000007,Male,"",3985,"",182,"",482,"",495,"",1286,"",964,"",364,"",171,"",41,""
86,20230701,11486,S08000030,S37000007,Female,"",4017,"",210,"",463,"",459,"",1251,"",977,"",370,"",196,"",91,""
87,20230701,11486,S08000030,S37000007,All,d,8002,"",392,"",945,"",954,"",2537,"",1941,"",734,"",367,"",132,""
88,20230701,11645,S08000030,S37000007,Male,"",4320,"",216,"",588,"",565,"",1281,"",1043,"",382,"",190,"",55,""
89,20230701,11645,S08000030,S37000007,Female,"",4344,"",174,"",504,"",535,"",1239,"",1154,"",419,"",228,"",91,""
90,20230701,11645,S08000030,S37000007,All,d,8664,"",390,"",1092,"",1100,"",2520,"",2197,"",801,"",418,"",146,""
91,20230701,11650,S08000030,S37000007,Male,"",3069,"",136,"",312,"",319,"",940,"",800,"",339,"",170,"",53,""
92,20230701,11650,S08000030,S37000007,Female,"",3185,"",134,"",333,"",371,"",934,"",793,"",325,"",209,"",86,""
93,20230701,11650,S08000030,S37000007,All,d,6254,"",270,"",645,"",690,"",1874,"",1593,"",664,"",379,"",139,""
94,20230701,11823,S08000030,S37000007,Male,"",4296,"",224,"",565,"",507,"",1224,"",1082,"",410,"",222,"",62,""
95,20230701,11823,S08000030,S37000007,Female,"",4366,"",213,"",553,"",468,"",1225,"",1087,"",445,"",269,"",106,""
96,20230701,11823,S08000030,S37000007,All,d,8662,"",437,"",1118,"",975,"",2449,"",2169,"",855,"",491,"",168,""
97,20230701,11861,S08000030,S37000007,Male,"",4338,"",184,"",401,"",482,"",1561,"",1029,"",369,"",245,"",67,""
98,20230701,11861,S08000030,S37000007,Female,"",3956,"",149,"",370,"",498,"",1186,"",915,"",379,"",336,"",123,""
99,20230701,11861,S08000030,S37000007,All,d,8294,"",333,"",771,"",980,"",2747,"",1944,"",748,"",581,"",190,""
100,20230701,11931,S08000030,S37000007,Male,"",3367,"",116,"",370,"",385,"",910,"",973,"",371,"",193,"",49,""
101,20230701,11931,S08000030,S37000007,Female,"",3339,"",111,"",314,"",360,"",853,"",981,"",382,"",251,"",87,""
102,20230701,11931,S08000030,S37000007,All,d,6706,"",227,"",684,"",745,"",1763,"",1954,"",753,"",444,"",136,""
103,20230701,12210,S08000030,S37000007,Male,"",1766,"",93,"",189,"",214,"",538,"",477,"",163,"",65,"",27,""
104,20230701,12210,S08000030,S37000007,Female,"",1939,"",100,"",185,"",225,"",567,"",474,"",207,"",134,"",47,""
105,20230701,12210,S08000030,S37000007,All,d,3705,"",193,"",374,"",439,"",1105,"",951,"",370,"",199,"",74,""
106,20230701,12281,S08000030,S37000007,Male,"",4324,"",145,"",283,"",804,"",1734,"",845,"",297,"",177,"",39,""
107,20230701,12281,S08000030,S37000007,Female,"",4303,"",105,"",273,"",1212,"",1378,"",751,"",290,"",194,"",100,""
108,20230701,12281,S08000030,S37000007,All,d,8627,"",250,"",556,"",2016,"",3112,"",1596,"",587,"",371,"",139,""
109,20230701,12831,S08000030,S37000007,Male,"",2284,"",103,"",269,"",270,"",730,"",587,"",189,"",102,"",34,""
110,20230701,12831,S08000030,S37000007,Female,"",2173,"",100,"",274,"",267,"",680,"",509,"",165,"",120,"",58,""
111,20230701,12831,S08000030,S37000007,All,d,4457,"",203,"",543,"",537,"",1410,"",1096,"",354,"",222,"",92,""
112,20230701,13049,S08000030,S37000033,Male,"",2015,"",91,"",197,"",171,"",447,"",596,"",271,"",184,"",58,""
113,20230701,13049,S08000030,S37000033,Female,"",2168,"",91,"",170,"",222,"",446,"",673,"",286,"",204,"",76,""
114,20230701,13049,S08000030,S37000033,All,d,4183,"",182,"",367,"",393,"",893,"",1269,"",557,"",388,"",134,""
115,20230701,13091,S08000030,S37000003,Male,"",1352,"",59,"",123,"",136,"",266,"",373,"",211,"",143,"",41,""
116,20230701,13091,S08000030,S37000003,Female,"",1345,"",56,"",141,"",98,"",248,"",399,"",210,"",140,"",53,""
117,20230701,13091,S08000030,S37000003,All,d,2697,"",115,"",264,"",234,"",514,"",772,"",421,"",283,"",94,""
118,20230701,13142,S08000030,S37000033,Male,"",1750,"",98,"",219,"",174,"",401,"",505,"",201,"",108,"",44,""
119,20230701,13142,S08000030,S37000033,Female,"",1777,"",100,"",190,"",155,"",450,"",523,"",189,"",124,"",46,""
120,20230701,13142,S08000030,S37000033,All,d,3527,"",198,"",409,"",329,"",851,"",1028,"",390,"",232,"",90,""
121,20230701,13195,S08000030,S37000003,Male,"",2200,"",104,"",217,"",213,"",493,"",605,"",303,"",208,"",57,""
122,20230701,13195,S08000030,S37000003,Female,"",2411,"",89,"",233,"",218,"",539,"",655,"",337,"",249,"",91,""
123,20230701,13195,S08000030,S37000003,All,d,4611,"",193,"",450,"",431,"",1032,"",1260,"",640,"",457,"",148,""
124,20230701,13231,S08000030,S37000003,Male,"",4677,"",148,"",461,"",478,"",1072,"",1387,"",604,"",427,"",100,""
125,20230701,13231,S08000030,S37000003,Female,"",4504,"",152,"",438,"",435,"",976,"",1323,"",597,"",417,"",166,""
126,20230701,13231,S08000030,S37000003,All,d,9181,"",300,"",899,"",913,"",2048,"",2710,"",1201,"",844,"",266,""
127,20230701,13284,S08000030,S37000003,Male,"",3495,"",175,"",366,"",350,"",820,"",961,"",445,"",284,"",94,""
128,20230701,13284,S08000030,S37000003,Female,"",3762,"",169,"",331,"",370,"",888,"",1059,"",483,"",316,"",146,""
129,20230701,13284,S08000030,S37000003,All,d,7257,"",344,"",697,"",720,"",1708,"",2020,"",928,"",600,"",240,""
130,20230701,13481,S08000030,S37000033,Male,"",4734,"",159,"",504,"",525,"",908,"",1460,"",644,"",417,"",117,""
131,20230701,13481,S08000030,S37000033,Female,"",4997,"",182,"",480,"",486,"",960,"",1561,"",678,"",489,"",161,""
