loc,year,n_within,attend
A111H,2015,57833,63373
A111H,2016,67690,72044
A111H,2017,66206,70977
A111H,2018,66768,71430
A111H,2019,66788,74779
A111H,2020,52123,57678
A111H,2021,45361,57368
A111H,2022,41951,59994
A111H,2023,41303,60239
A111H,2024,17891,27506
A210H,2015,34850,38193
A210H,2016,40566,44934
A210H,2017,39770,42103
A210H,2018,35257,38302
A210H,2019,32478,39699
A210H,2020,24678,29678
A210H,2021,23238,28902
A210H,2022,19738,30285
A210H,2023,19958,31198
A210H,2024,8898,14272
B120H,2015,22094,23104
B120H,2016,27035,28418
B120H,2017,28609,30474
B120H,2018,28318,30798
B120H,2019,29738,32431
B120H,2020,22775,26058
B120H,2021,21728,27852
B120H,2022,19093,29577
B120H,2023,20182,31343
B120H,2024,8946,14105
C121H,2015,6139,6228
C121H,2016,7738,7830
C121H,2017,7756,7912
C121H,2018,7836,8098
C121H,2019,8198,8459
C121H,2020,6047,6298
C121H,2021,7157,7537
C121H,2022,8116,8847
C121H,2023,7977,8874
C121H,2024,3699,4008
C313H,2015,25299,27163
C313H,2016,30876,32299
C313H,2017,30629,32813
C313H,2018,29579,32325
C313H,2019,29877,33453
C313H,2020,21908,23869
C313H,2021,23582,27913
C313H,2022,23180,29292
C313H,2023,23127,29640
C313H,2024,9552,13533
C418H,2015,51814,57956
C418H,2016,62373,69081
C418H,2017,59067,66793
C418H,2018,57712,66749
C418H,2019,57540,69128
C418H,2020,42723,48358
C418H,2021,44339,56877
C418H,2022,32996,55409
C418H,2023,37128,57841
C418H,2024,14038,25272
F704H,2015,51449,54185
F704H,2016,59733,63767
F704H,2017,60383,64818
F704H,2018,62583,66446
F704H,2019,62722,69218
F704H,2020,48824,53313
F704H,2021,48093,59364
F704H,2022,44005,66542
F704H,2023,44374,67393
F704H,2024,20971,31936
G107H,2015,68078,75983
G107H,2016,80295,92020
G107H,2017,83219,94695
G107H,2018,82205,94794
G107H,2019,80524,98162
G107H,2020,61114,68986
G107H,2021,64063,78946
G107H,2022,50860,82153
G107H,2023,44257,82173
G107H,2024,21054,37131
G306H,2015,11953,14231
G405H,2015,57464,64637
G405H,2016,81940,93609
G405H,2017,85882,102519
G405H,2018,85904,102018
G405H,2019,80023,104304
G405H,2020,67290,80509
G405H,2021,61403,85894
G405H,2022,45357,90367
G405H,2023,48532,96900
G405H,2024,22549,43942
G513H,2015,43724,44091
G513H,2016,56221,56468
G513H,2017,60823,61978
G513H,2018,62828,65123
G513H,2019,68331,71815
G513H,2020,40833,41511
G513H,2021,59043,62116
G513H,2022,68952,75278
G513H,2023,68153,72478
G513H,2024,31814,33987
G516H,2015,12492,15741
H103H,2015,5079,5334
H103H,2016,6681,6991
H103H,2017,7093,7303
H103H,2018,7825,8089
H103H,2019,8078,8470
H103H,2020,6900,7262
H103H,2021,7761,8460
H103H,2022,8403,9609
H103H,2023,8118,9908
H103H,2024,3501,4341
H202H,2015,27144,28618
H202H,2016,31602,33791
H202H,2017,32858,35415
H202H,2018,33019,35702
H202H,2019,33914,37616
H202H,2020,26295,29037
H202H,2021,26347,31876
H202H,2022,26353,36440
H202H,2023,27728,38317
H202H,2024,11845,16974
H212H,2015,7637,7893
H212H,2016,8748,9125
H212H,2017,9074,9410
H212H,2018,9534,9921
H212H,2019,9401,10131
H212H,2020,6219,6576
H212H,2021,7387,8068
H212H,2022,8511,9562
H212H,2023,8389,9607
H212H,2024,3401,4124
L106H,2015,55151,57475
L106H,2016,65269,68055
L106H,2017,66645,69971
L106H,2018,64945,68677
L106H,2019,64944,71763
L106H,2020,50481,57051
L106H,2021,50256,64610
L106H,2022,42348,65482
L106H,2023,41758,66163
L106H,2024,16117,29502
L302H,2015,46845,50972
L302H,2016,57740,63021
L302H,2017,58151,65487
L302H,2018,57178,64602
L302H,2019,55998,67752
L302H,2020,45267,52225
L302H,2021,45324,59711
L302H,2022,34219,61650
L302H,2023,34478,63002
L302H,2024,15265,28477
L308H,2015,47366,53279
L308H,2016,58545,64724
L308H,2017,64034,71013
L308H,2018,64745,72458
L308H,2019,63853,75814
L308H,2020,55745,63618
L308H,2021,49455,71471
L308H,2022,38679,69675
L308H,2023,40147,70481
L308H,2024,18650,32638
N101H,2015,45961,49640
N101H,2016,53810,57685
N101H,2017,54270,59217
N101H,2018,53534,59705
N101H,2019,54059,62622
N101H,2020,42254,48137
N101H,2021,34631,46944
N101H,2022,28238,53100
N101H,2023,26015,54403
N101H,2024,11602,24444
N121H,2015,15151,15357
N121H,2016,15736,15941
N121H,2017,15772,15991
N121H,2018,15981,16130
N121H,2019,16933,17136
N121H,2020,11635,11841
N121H,2021,13246,13735
N121H,2022,15094,16709
N121H,2023,14816,17159
N121H,2024,6913,7959
N411H,2015,20212,20756
N411H,2016,23852,24737
N411H,2017,24077,24869
N411H,2018,24109,25218
N411H,2019,25288,26645
N411H,2020,19844,21425
N411H,2021,20602,23994
N411H,2022,20435,27794
N411H,2023,20520,28706
N411H,2024,8245,11985
R103H,2015,4585,4676
R103H,2016,5633,5730
R103H,2017,5897,6124
R103H,2018,6279,6536
R103H,2019,6686,6947
R103H,2020,5140,5312
R103H,2021,5281,5478
R103H,2022,6241,6826
R103H,2023,6458,7216
R103H,2024,3134,3380
S308H,2015,43056,45619
S308H,2016,52000,55107
S308H,2017,52911,55891
S308H,2018,50080,57138
S308H,2019,53405,59832
S308H,2020,43135,47416
S308H,2021,43478,53699
S308H,2022,39575,56647
S308H,2023,38563,56401
S308H,2024,15540,24939
S314H,2015,93981,100142
S314H,2016,109404,118652
S314H,2017,110029,121083
S314H,2018,91967,119458
S314H,2019,105111,127738
S314H,2020,88467,102665
S314H,2021,77599,113866
S314H,2022,56040,118042
S314H,2023,58649,120890
S314H,2024,25924,52635
S319H,2015,38798,39383
S319H,2016,47799,48704
S319H,2017,49304,50471
S319H,2018,46476,48649
S319H,2019,49124,51805
S319H,2020,36907,37884
S319H,2021,48065,49964
S319H,2022,54557,58381
S319H,2023,47968,53469
S319H,2024,22267,24818
T101H,2015,39742,40358
T101H,2016,47443,48261
T101H,2017,48417,49845
T101H,2018,48265,49957
T101H,2019,49788,52451
T101H,2020,41939,43570
T101H,2021,46863,50365
T101H,2022,51344,58045
T101H,2023,51871,58061
T101H,2024,23428,26668
T202H,2015,21244,21601
T202H,2016,24869,25203
T202H,2017,24573,25289
T202H,2018,24070,24747
T202H,2019,24947,26278
T202H,2020,18350,18961
T202H,2021,18256,19444
T202H,2022,20618,22475
T202H,2023,20393,22348
T202H,2024,9521,10388
V217H,2015,50041,53556
V217H,2016,59696,64268
V217H,2017,59325,66162
V217H,2018,51482,64208
V217H,2019,58439,67976
V217H,2020,43493,47736
V217H,2021,38651,55985
V217H,2022,30314,58851
V217H,2023,28496,59073
V217H,2024,11657,26478
W107H,2015,5500,5583
W107H,2016,6490,6549
W107H,2017,6688,6740
W107H,2018,6707,6809
W107H,2019,6882,7010
W107H,2020,4428,4532
W107H,2021,3888,4038
W107H,2022,5508,5668
W107H,2023,5681,5793
W107H,2024,2322,2471
Y144H,2015,10016,10269
Y144H,2016,11506,11960
Y144H,2017,11827,12532
Y144H,2018,11906,12889
Y144H,2019,12704,13657
Y144H,2020,9681,10584
Y144H,2021,9579,10540
Y144H,2022,11519,13065
Y144H,2023,12259,13994
Y144H,2024,5586,6376
Y146H,2015,28448,29359
Y146H,2016,34607,36418
Y146H,2017,34790,37661
Y146H,2018,30543,33299
Y146H,2019,32070,35632
Y146H,2020,25305,27460
Y146H,2021,22946,27752
Y146H,2022,24898,32594
Y146H,2023,25491,33274
Y146H,2024,11152,15252
Z102H,2015,6334,6542
Z102H,2016,7068,7400
Z102H,2017,7466,7707
Z102H,2018,7406,7684
Z102H,2019,7467,7792
Z102H,2020,5444,5637
Z102H,2021,6029,6164
Z102H,2022,7048,7495
Z102H,2023,7318,8446
Z102H,2024,3134,3527
